stage,owner,contact_path
quota,Zoë Oyelaran,notify/escalation/quota.md
tenancy,Siên Maldonado,notify/escalation/tenancy.md
dispatch,Uğur Achterberg,notify/owners/dispatch.md
attestation,Astrid Oyelaran,notify/owners/attestation.md
compaction,Börge Nwachukwu,notify/owners/compaction.md
ledger,Mireille Okonjo,notify/escalation/ledger.md
cursor,Iván Ravindran,notify/owners/cursor.md
lineage,Nadiá Villanueva,notify/escalation/lineage.md
retention,Timotée Okonjo,notify/escalation/retention.md
throttle,Sólveig Nwachukwu,notify/escalation/throttle.md
checkpoint,Yannick Nwachukwu,notify/escalation/checkpoint.md
reconcile,Malgorzata Bergstrom,notify/owners/reconcile.md
shard,Karólina Villanueva,notify/owners/shard.md
backfill,Eléonore Nwachukwu,notify/escalation/backfill.md
ingest,Bálint Achterberg,notify/owners/ingest.md
envelope,Ninón Ferreira,notify/owners/envelope.md
replay,Óskar Bergstrom,notify/owners/replay.md
drain,Gwenaëlle Sorensen,notify/escalation/drain.md
routing,Sébastien Lindqvist,notify/escalation/routing.md
